Location_ID,Distance,Priority
L3780,0.18,High
L3781,0.13,High
L3782,0.1,High
L3783,0.03,High
L3784,0.07,High
L3785,0.01,High
L3786,0.03,High
L3787,0.03,High
L3788,0.18,High
L3789,0.03,High
L3790,0.07,High
L3791,0.03,High
L3792,0.03,High
L3793,0.16,Medium
L3794,0.08,High
L3795,0.03,High
L3796,0.08,High
L3797,0.06,High
L3798,0.18,High
L3799,0.07,High
L3800,0.08,High
L3801,0.08,High
L3802,0.03,High
L3803,0.16,High
L3804,0.01,High
L3805,0.13,Medium
L3806,0.16,High
L3807,0.16,High
L3808,0.03,High
L3809,0.04,High
L3810,0.13,High
L3811,0.08,High
L3812,0.13,High
L3813,0.03,High
L3814,0.13,High
L3815,0.18,High
L3816,0.03,High
L3817,0.11,High
L3818,0.01,High
L3819,0.03,High
L3820,0.16,High
L3821,0.01,High
L3822,0.07,High
L3823,0.11,Low
L3824,0.2,Low
L3825,0.16,High
L3826,0.01,High
L3827,0.04,High
L3828,0.13,Medium
L3829,0.08,High
L3830,0.01,High
L3831,0.03,High
L3832,0.03,High
L3833,0.11,High
L3834,0.03,High
L3835,0.07,High
L3836,0.01,Low
L3837,0.11,Medium
L3838,0.04,High
L3839,0.1,High
L3840,0.13,High
L3841,0.01,High
L3842,0.18,High
L3843,0.13,High
L3844,0.03,High
L3845,0.1,Medium
L3846,0.1,High
L3847,0.07,High
L3848,0.08,High
L3849,0.06,High
L3850,0.06,High
L3851,0.08,High
L3852,0.13,Low
L3853,0.06,High
L3854,0.11,Medium
L3855,0.07,Medium
L3856,0.04,High
L3857,0.18,High
L3858,0.03,Medium
L3859,0.08,High
L3860,0.07,High
L3861,0.11,High
L3862,0.03,High
L3863,0.07,Medium
L3864,0.03,High
L3865,0.13,High
L3866,0.01,High
L3867,0.18,High
L3868,0.1,High
L3869,0.16,High
L3870,0.1,High
L3871,0.1,High
L3872,0.04,High
L3873,0.11,Medium
L3874,0.01,High
L3875,0.04,High
L3876,0.01,High
L3877,0.08,High
L3878,0.01,High
L3879,0.16,High
L3880,0.16,High
L3881,0.16,High
L3882,0.11,High
L3883,0.13,Low
L3884,0.1,Medium
L3885,0.2,Medium
L3886,0.06,Medium
L3887,0.04,High
L3888,0.06,High
L3889,0.16,Low
L3890,0.1,High
L3891,0.06,High
L3892,0.13,Medium
L3893,0.01,High
L3894,0.04,High
L3895,0.18,High
L3896,0.03,High
L3897,61.92,High
L3898,0.08,Medium
L3899,0.16,High
L3900,0.03,High
L3901,0.11,Medium
L3902,0.01,High
L3903,0.11,High
L3904,0.01,Medium
L3905,0.07,High
L3906,0.03,High
L3907,0.07,High
L3908,0.16,Low
L3909,0.07,Medium
L3910,0.08,Medium
L3911,0.11,High
L3912,0.11,High
L3913,0.16,High
L3914,0.06,Medium
L3915,0.1,High
L3916,0.01,High
L3917,0.11,High
L3918,0.11,Medium
L3919,0.16,High
L3920,0.07,High
L3921,0.08,Medium
L3922,0.13,High
L3923,0.13,High
L3924,0.1,Low
L3925,0.01,High
L3926,0.13,High
L3927,0.07,High
L3928,0.1,High
L3929,0.13,High
L3930,0.04,High
L3931,0.01,Medium
L3932,0.03,High
L3933,0.07,High
L3934,0.04,High
L3935,0.03,High
L3936,0.08,High
L3937,0.18,High
L3938,0.04,High
L3939,0.1,High
L3940,0.04,High
L3941,0.13,High
L3942,0.13,High
L3943,0.08,High
L3944,0.06,High
L3945,0.16,High
L3946,0.01,Medium
L3947,0.01,High
L3948,0.04,Medium
L3949,0.16,High
L3950,0.08,Medium
L3951,0.04,High
L3952,0.06,High
L3953,0.18,Medium
L3954,0.16,High
L3955,0.18,Medium
L3956,0.08,High
L3957,0.04,High
L3958,0.06,High
L3959,0.08,High
L3960,0.01,High
L3961,0.04,High
L3962,0.1,Medium
L3963,0.1,Medium
L3964,0.01,High
L3965,0.07,Medium
L3966,0.13,High
L3967,0.08,High
L3968,0.11,High
L3969,0.11,High
L3970,0.01,High
L3971,0.11,High
L3972,0.04,Medium
L3973,0.1,High
L3974,0.08,High
L3975,0.04,Medium
L3976,0.03,Medium
L3977,0.04,High
L3978,0.07,High
L3979,0.18,Medium
L3980,0.08,Medium
L3981,0.04,High
L3982,0.11,Medium
L3983,0.16,High
L3984,0.07,High
L3985,0.07,Medium
L3986,0.08,High
L3987,0.16,High
L3988,0.06,High
L3989,0.11,Medium
L3990,0.08,High
L3991,0.11,High
L3992,0.11,Medium
L3993,0.11,High
L3994,0.06,High
L3995,0.07,High
L3996,0.03,High
L3997,0.07,High
L3998,0.01,High
L3999,0.13,Low
L4000,0.13,High
L4001,0.11,High
L4002,0.04,High
L4003,0.18,High
L4004,0.07,High
L4005,0.06,High
L4006,0.13,High
L4007,0.11,High
L4008,0.07,High
L4009,0.16,High
L4010,0.18,High
L4011,0.18,High
L4012,0.06,High
L4013,0.1,High
L4014,0.03,High
L4015,0.07,High
L4016,0.08,High
L4017,0.16,High
L4018,0.11,High
L4019,0.11,High
L4020,0.16,High
L4021,0.18,Low
L4022,0.18,Medium
L4023,0.04,High
L4024,0.13,High
L4025,0.16,High
L4026,0.13,High
L4027,0.04,High
L4028,0.07,High
L4029,0.04,Medium
L4030,0.13,High
L4031,0.11,High
L4032,0.07,High
L4033,0.1,Medium
L4034,0.1,High
L4035,0.01,High
L4036,0.11,High
L4037,0.2,High
L4038,0.07,High
L4039,0.07,High
L4040,0.04,High
L4041,0.1,Medium
L4042,0.08,Medium
L4043,0.18,Medium
L4044,0.11,High
L4045,0.08,High
L4046,0.11,Medium
L4047,0.04,High
L4048,0.06,High
L4049,0.07,High
L4050,0.16,Medium
L4051,0.03,High
L4052,0.04,Medium
L4053,0.04,High
L4054,0.04,Medium
L4055,0.04,High
L4056,0.11,High
L4057,0.06,High
L4058,0.06,High
L4059,0.16,High
L4060,0.03,High
L4061,0.01,High
L4062,0.11,High
L4063,0.18,Medium
L4064,0.16,High
L4065,0.11,High
L4066,0.08,High
L4067,0.04,High
L4068,0.16,Medium
L4069,0.13,High
L4070,0.16,High
L4071,0.07,High
L4072,0.03,High
L4073,0.07,High
L4074,0.03,High
L4075,0.1,High
L4076,0.01,High
L4077,0.1,High
L4078,0.18,High
L4079,0.01,High
L4080,0.04,High
L4081,0.01,High
L4082,0.1,High
L4083,0.06,High
L4084,0.03,Medium
L4085,0.08,High
L4086,0.07,High
L4087,0.11,High
L4088,0.03,High
L4089,0.16,High
L4090,0.01,High
L4091,0.11,High
L4092,0.03,High
L4093,0.11,High
L4094,0.18,High
L4095,0.18,High
L4096,0.04,High
L4097,0.08,High
L4098,0.03,High
L4099,0.16,High
L4100,0.04,High
L4101,0.07,High
L4102,0.11,High
L4103,0.07,High
L4104,0.01,High
L4105,0.16,High
L4106,0.04,High
L4107,0.01,High
L4108,0.11,Medium
L4109,0.07,High
L4110,0.01,High
L4111,0.11,Medium
L4112,0.04,High
L4113,0.01,High
L4114,0.03,High
L4115,0.11,High
L4116,0.18,High
L4117,0.18,High
L4118,0.16,High
L4119,0.11,High
L4120,0.08,High
L4121,0.1,High
L4122,0.04,High
L4123,0.01,High
L4124,0.1,High
L4125,0.18,Medium
L4126,0.13,High
L4127,0.06,Medium
L4128,0.13,High
L4129,0.08,High
L4130,0.03,Medium
L4131,0.1,High
L4132,0.08,High
L4133,0.03,High
L4134,0.01,High
L4135,0.11,High
L4136,0.01,High
L4137,0.06,High
L4138,0.16,High
L4139,0.06,High
L4140,0.16,High
L4141,0.04,High
L4142,0.13,High
L4143,0.07,Medium
L4144,0.07,High
L4145,0.2,Medium
L4146,0.18,High
L4147,0.04,High
L4148,0.04,Medium
L4149,0.01,High
L4150,0.06,High
L4151,0.11,High
L4152,0.11,Low
L4153,0.2,High
L4154,0.16,Medium
L4155,0.08,High
L4156,0.11,High
L4157,0.03,High
L4158,0.1,High
L4159,0.1,High
L4160,0.06,High
L4161,0.1,High
L4162,0.03,Medium
L4163,0.03,High
L4164,0.03,High
L4165,0.06,High
L4166,0.18,High
L4167,0.03,High
L4168,0.03,High
L4169,0.07,High
L4170,0.1,Medium
L4171,0.08,High
L4172,0.13,High
L4173,0.03,Medium
L4174,0.13,High
L4175,0.04,High
L4176,0.01,High
L4177,0.1,High
L4178,0.13,High
L4179,0.11,High
L4180,0.1,High
L4181,0.13,High
L4182,0.13,High
L4183,0.16,High
L4184,0.13,High
L4185,0.18,Medium
L4186,0.03,High
L4187,0.01,High
L4188,0.04,High
L4189,0.01,High
L4190,0.07,High
L4191,0.13,High
L4192,0.04,High
L4193,0.06,High
L4194,0.13,Medium
L4195,0.18,High
L4196,0.06,High
L4197,0.13,High
L4198,0.01,High
L4199,0.07,High
L4200,0.06,High
L4201,0.08,High
L4202,0.16,Medium
L4203,0.18,High
L4204,0.16,High
L4205,0.06,High
L4206,0.11,High
L4207,0.11,High
L4208,0.16,High
L4209,0.08,High
L4210,0.08,High
L4211,0.07,High
L4212,0.08,High
L4213,0.06,High
L4214,0.01,High
L4215,0.06,High
L4216,0.1,High
L4217,0.16,High
L4218,0.1,High
L4219,0.07,High
L4220,0.13,High
L4221,0.11,Low
L4222,0.04,High
L4223,0.16,High
L4224,0.08,High
L4225,0.06,High
L4226,0.06,High
L4227,0.1,High
L4228,0.01,High
L4229,0.1,High
L4230,0.08,High
L4231,0.01,High
L4232,0.07,High
L4233,0.18,High
L4234,0.1,High
L4235,0.07,High
L4236,0.1,High
L4237,0.03,High
L4238,0.06,Medium
L4239,0.04,High
L4240,0.03,High
L4241,0.1,High
L4242,0.1,Low
L4243,0.04,High
L4244,0.06,High
L4245,0.11,Medium
L4246,0.11,High
L4247,0.13,High
L4248,0.06,High
L4249,0.18,High
L4250,0.07,High
L4251,0.08,High
L4252,0.03,High
L4253,0.04,High
L4254,0.18,High
L4255,0.2,High
L4256,0.04,High
L4257,0.04,High
L4258,0.11,High
L4259,0.08,High
L4260,0.06,High
L4261,0.07,High
L4262,0.03,High
L4263,0.18,High
L4264,0.03,High
L4265,0.04,High
L4266,0.07,High
L4267,0.04,High
L4268,0.04,High
L4269,0.08,High
L4270,0.11,High
L4271,0.13,High
L4272,0.08,Medium
L4273,0.07,High
L4274,0.03,High
L4275,0.07,High
L4276,0.08,High
L4277,0.2,High
L4278,0.11,High
L4279,0.13,High
L4280,0.07,Medium
L4281,0.01,High
L4282,0.18,High
L4283,0.01,High
L4284,0.07,Medium
L4285,0.03,High
L4286,0.04,Medium
L4287,0.08,High
L4288,0.04,High
L4289,0.01,High
L4290,0.11,High
L4291,0.1,High
L4292,0.18,High
L4293,0.03,High
L4294,0.11,High
L4295,0.16,High
L4296,0.03,High
L4297,0.08,High
L4298,0.06,High
L4299,0.08,High
L4300,0.07,High
L4301,0.16,High
L4302,0.06,High
L4303,0.1,High
L4304,0.16,High
L4305,0.08,High
L4306,0.16,High
L4307,0.11,High
L4308,0.07,High
L4309,0.13,Medium
L4310,0.06,High
L4311,0.06,Medium
L4312,0.04,High
L4313,0.13,High
L4314,0.18,High
L4315,0.08,High
L4316,0.1,High
L4317,0.13,Medium
L4318,0.16,High
L4319,0.16,High
L4320,0.13,High
L4321,0.11,High
L4322,0.18,High
L4323,0.04,High
L4324,0.13,High
L4325,0.06,Medium
L4326,0.16,High
L4327,0.1,High
L4328,0.07,High
L4329,0.16,High
L4330,0.03,High
L4331,0.1,High
L4332,0.13,High
L4333,0.04,High
L4334,0.04,High
L4335,0.1,Medium
L4336,0.16,High
L4337,0.01,High
L4338,0.1,High
L4339,0.08,High
L4340,0.04,High
L4341,0.07,High
L4342,0.08,High
L4343,0.03,High
L4344,0.04,High
L4345,0.03,High
L4346,0.06,High
L4347,0.1,High
L4348,0.06,High
L4349,0.03,Medium
L4350,0.03,High
L4351,0.01,High
L4352,0.06,High
L4353,0.04,High
L4354,0.18,High
L4355,0.18,High
L4356,0.08,High
L4357,0.18,High
L4358,0.04,High
L4359,0.01,High
L4360,0.1,High
L4361,0.16,Medium
L4362,0.11,High
L4363,0.18,High
L4364,0.01,Medium
L4365,0.06,Medium
L4366,0.18,High
L4367,0.1,High
L4368,0.16,High
L4369,0.01,High
L4370,0.11,High
L4371,0.13,High
L4372,0.16,High
L4373,0.13,High
L4374,0.06,High
L4375,0.03,Medium
L4376,0.11,High
L4377,0.03,High
L4378,0.06,High
L4379,0.16,High
L4380,0.06,Medium
L4381,0.1,High
L4382,0.11,High
L4383,0.16,High
L4384,0.13,Medium
L4385,0.13,High
L4386,0.11,High
L4387,0.1,High
L4388,0.18,High
L4389,0.07,High
L4390,0.08,High
L4391,0.13,High
L4392,0.04,High
L4393,0.2,High
L4394,0.13,Medium
L4395,0.13,High
L4396,0.07,High
L4397,0.1,High
L4398,0.07,High
L4399,0.01,High
L4400,0.01,Medium
L4401,0.01,High
L4402,0.1,High
L4403,0.18,High
L4404,0.11,High
L4405,0.03,High
L4406,0.18,High
L4407,0.16,High
L4408,0.11,Medium
L4409,0.04,High
L4410,0.06,High
L4411,0.16,High
L4412,0.07,High
L4413,0.11,High
L4414,0.04,High
L4415,0.18,High
L4416,0.08,High
L4417,0.16,High
L4418,0.01,High
L4419,0.18,High
L4420,0.1,High
L4421,0.18,High
L4422,0.07,High
L4423,0.16,High
L4424,0.06,Medium
L4425,0.13,High
L4426,0.13,High
L4427,0.01,High
L4428,0.13,High
L4429,0.04,High
L4430,0.1,High
L4431,0.13,Medium
L4432,0.11,Low
L4433,0.07,High
L4434,0.16,High
L4435,0.03,High
L4436,0.04,High
L4437,0.04,High
L4438,0.04,High
L4439,0.2,Medium
L4440,0.06,High
L4441,0.13,High
L4442,0.01,High
L4443,0.18,High
L4444,0.18,High
L4445,0.08,High
L4446,0.08,High
L4447,0.16,Medium
L4448,0.01,High
L4449,0.03,High
L4450,0.18,High
L4451,0.11,High
L4452,0.1,High
L4453,0.11,High
L4454,0.18,High
L4455,0.11,High
L4456,0.18,Medium
L4457,0.06,Medium
L4458,0.01,Low
L4459,0.03,High
L4460,0.01,High
L4461,0.16,Medium
L4462,0.16,High
L4463,0.11,High
L4464,0.04,High
L4465,0.13,High
L4466,0.03,Medium
L4467,0.11,High
L4468,0.03,High
L4469,0.2,High
L4470,0.08,High
L4471,0.18,Low
L4472,0.04,High
L4473,0.11,Low
L4474,0.16,High
L4475,0.11,High
L4476,0.03,High
L4477,0.04,High
L4478,0.1,High
L4479,0.04,High
L4480,0.06,High
L4481,0.11,High
L4482,0.13,High
L4483,0.18,High
L4484,0.01,High
L4485,0.06,High
L4486,0.16,High
L4487,0.11,High
L4488,0.06,High
L4489,0.08,Medium
L4490,0.06,High
L4491,0.06,Medium
L4492,0.04,High
L4493,0.1,High
L4494,0.18,Medium
L4495,0.16,Medium
L4496,0.01,Medium
L4497,0.08,High
L4498,0.08,High
L4499,0.08,High
L4500,0.06,High
L4501,0.13,High
L4502,0.03,High
L4503,0.11,High
L4504,0.13,High
L4505,0.01,High
L4506,0.16,High
L4507,0.11,High
L4508,0.11,High
L4509,160.74,High
L4510,0.18,High
L4511,0.03,High
L4512,0.08,High
L4513,0.07,High
L4514,0.07,High
L4515,0.11,Medium
L4516,0.13,High
L4517,0.11,High
L4518,0.1,High
L4519,0.13,High
L4520,0.1,High
L4521,0.18,Medium
L4522,0.11,High
L4523,0.01,Medium
L4524,0.16,High
L4525,0.16,Medium
L4526,0.04,High
L4527,0.03,High
L4528,0.08,Medium
L4529,0.03,High
L4530,0.11,High
L4531,0.08,Medium
L4532,0.18,High
L4533,0.01,High
L4534,0.06,High
L4535,0.04,High
L4536,0.07,Medium
L4537,0.08,High
L4538,0.01,High
L4539,0.04,High
L4540,0.07,High
L4541,0.1,Medium
L4542,0.1,High
L4543,0.01,Low
L4544,0.07,High
L4545,0.07,High
L4546,0.04,High
L4547,0.07,High
L4548,0.06,High
L4549,0.06,High
L4550,0.01,High
L4551,0.1,High
L4552,0.04,High
L4553,0.1,High
L4554,0.1,Low
L4555,0.18,High
L4556,0.1,Medium
L4557,0.06,High
L4558,0.04,High
L4559,0.18,High
L4560,0.06,High
L4561,0.01,Medium
L4562,0.18,High
L4563,0.11,High
L4564,0.01,High
L4565,0.1,High
L4566,0.04,High
L4567,0.13,High
L4568,0.04,High
L4569,0.01,High
L4570,0.13,High
L4571,0.18,High
L4572,0.06,High
L4573,0.07,High
L4574,0.07,High
L4575,0.03,High
L4576,0.08,High
L4577,0.03,High
L4578,0.07,High
L4579,0.07,High
L4580,0.16,High
L4581,0.16,Medium
L4582,0.06,Medium
L4583,0.11,High
L4584,0.1,High
L4585,0.18,Medium
L4586,0.08,Low
L4587,0.04,High
L4588,0.1,High
L4589,0.07,High
L4590,0.06,Medium
L4591,0.01,High
L4592,0.11,High
L4593,0.06,High
L4594,0.04,High
L4595,0.06,High
L4596,0.1,High
L4597,0.03,High
L4598,0.06,High
L4599,0.18,High
L4600,0.08,High
L4601,0.11,Low
L4602,0.1,High
L4603,0.07,High
L4604,0.06,High
L4605,0.11,High
L4606,0.16,High
L4607,0.13,High
L4608,0.1,High
L4609,0.16,High
L4610,0.07,High
L4611,0.13,Medium
L4612,0.04,High
L4613,0.06,High
L4614,0.16,High
L4615,0.01,High
L4616,0.03,High
L4617,0.03,High
L4618,0.01,High
L4619,0.07,High
L4620,0.04,High
L4621,0.13,High
L4622,0.11,High
L4623,0.1,High
L4624,0.13,High
L4625,0.1,High
L4626,0.11,High
L4627,0.06,High
L4628,0.1,High
L4629,0.08,High
L4630,0.06,High
L4631,0.11,High
L4632,0.01,High
L4633,0.03,High
L4634,0.18,High
L4635,0.16,High
L4636,0.16,High
L4637,0.04,High
L4638,0.07,High
L4639,0.11,High
L4640,0.06,Medium
L4641,0.1,Medium
L4642,0.04,High
L4643,0.06,Medium
L4644,0.03,Medium
L4645,0.11,Medium
L4646,0.1,High
L4647,0.08,Medium
L4648,0.16,High
L4649,0.13,Medium
L4650,0.1,High
L4651,0.11,High
L4652,0.06,High
L4653,0.1,High
L4654,0.11,High
L4655,0.06,High
L4656,0.03,High
L4657,0.07,High
L4658,0.04,Medium
L4659,0.06,High
L4660,0.18,High
L4661,0.08,High
L4662,0.11,Medium
L4663,0.1,Medium
L4664,0.08,High
L4665,0.13,Medium
L4666,0.1,High
L4667,0.16,High
L4668,0.01,High
L4669,0.06,High
L4670,0.11,High
L4671,0.1,Medium
L4672,0.16,Medium
L4673,0.13,High
L4674,0.01,High
L4675,0.16,High
L4676,0.01,High
L4677,0.01,High
L4678,0.18,High
L4679,0.11,Medium
L4680,0.06,High
L4681,0.1,High
L4682,0.1,High
L4683,0.04,High
L4684,0.07,High
L4685,0.06,High
L4686,0.13,Medium
L4687,0.08,High
L4688,0.1,High
L4689,0.16,Medium
L4690,0.11,Low
L4691,0.03,High
L4692,0.04,High
L4693,0.08,High
L4694,0.1,High
L4695,0.04,High
L4696,0.01,Medium
L4697,0.04,High
L4698,0.07,Medium
L4699,0.18,High
L4700,0.01,Medium
L4701,0.01,High
L4702,0.01,High
L4703,0.07,High
L4704,0.01,High
L4705,0.06,High
L4706,0.04,High
L4707,0.18,Low
L4708,0.1,High
L4709,0.04,High
L4710,0.18,High
L4711,0.01,High
L4712,0.16,High
L4713,0.04,High
L4714,0.13,Medium
L4715,0.06,High
L4716,0.04,High
L4717,0.04,High
L4718,0.08,High
L4719,0.16,High
L4720,0.08,Medium
L4721,0.13,High
L4722,0.01,High
L4723,0.11,High
L4724,0.06,Medium
L4725,0.04,High
L4726,0.01,High
L4727,0.11,Medium
L4728,0.13,Medium
L4729,0.16,High
L4730,0.1,Medium
L4731,0.18,High
L4732,0.16,Medium
L4733,0.11,Medium
L4734,0.06,High
L4735,0.18,High
L4736,0.03,Medium
L4737,0.16,Low
L4738,0.16,High
L4739,0.13,Medium
L4740,0.1,Low
L4741,0.16,Medium
L4742,0.11,High
L4743,0.08,High
L4744,0.18,Medium
L4745,0.18,Medium
L4746,0.06,High
L4747,0.11,High
L4748,0.04,High
L4749,0.13,Medium
L4750,0.2,High
L4751,0.18,High
L4752,0.11,High
L4753,0.06,High
L4754,0.01,High
L4755,0.1,High
L4756,0.11,High
L4757,0.01,High
L4758,0.07,High
L4759,0.04,High
L4760,0.13,High
L4761,0.16,High
L4762,0.1,Medium
L4763,0.04,Medium
L4764,0.06,High
L4765,0.11,High
L4766,0.16,High
L4767,0.16,High
L4768,0.08,High
L4769,0.04,High
L4770,0.01,Medium
L4771,0.18,High
L4772,0.04,High
L4773,0.04,High
L4774,0.03,High
L4775,0.04,High
L4776,0.16,High
L4777,53.05,High
L4778,0.07,High
L4779,0.03,High
L4780,0.1,High
L4781,0.11,Low
L4782,0.06,High
L4783,0.04,High
L4784,0.06,High
L4785,0.07,High
L4786,0.08,High
L4787,0.04,High
L4788,0.08,High
L4789,0.01,High
L4790,0.07,High
L4791,0.13,High
L4792,0.03,High
L4793,0.01,High
L4794,0.13,Medium
L4795,0.01,High
L4796,0.03,High
L4797,0.16,High
L4798,0.04,Medium
L4799,0.01,High
L4800,0.1,High
L4801,0.03,High
L4802,0.07,High
L4803,0.08,High
L4804,0.1,Medium
L4805,0.11,High
L4806,0.08,Medium
L4807,0.01,Medium
L4808,0.04,High
L4809,0.18,High
L4810,0.11,High
L4811,0.06,High
L4812,0.07,High
L4813,0.06,High
L4814,0.11,High
L4815,0.18,High
L4816,0.08,High
L4817,0.1,High
L4818,0.11,Medium
L4819,0.06,High
L4820,0.03,High
L4821,0.13,High
L4822,0.07,High
L4823,0.16,High
L4824,0.16,High
L4825,0.01,High
L4826,0.11,High
L4827,0.07,High
L4828,0.07,High
L4829,0.08,High
L4830,0.01,High
L4831,0.07,High
L4832,0.18,High
L4833,0.01,High
L4834,0.13,Medium
L4835,0.01,High
L4836,0.06,High
L4837,0.18,High
L4838,0.06,High
L4839,0.13,High
L4840,0.1,High
L4841,0.08,High
L4842,0.07,High
L4843,0.1,High
L4844,0.01,High
L4845,0.1,Medium
L4846,0.11,High
L4847,0.18,High
L4848,0.18,High
L4849,0.06,High
L4850,0.18,High
L4851,0.01,Medium
L4852,0.18,High
L4853,0.04,High
L4854,0.1,High
L4855,0.08,High
L4856,0.04,High
L4857,0.13,High
L4858,0.04,High
L4859,0.01,Medium
L4860,0.06,High
L4861,0.16,High
L4862,0.08,High
L4863,0.04,High
L4864,0.07,High
L4865,0.11,High
L4866,0.11,Medium
L4867,0.03,High
L4868,0.03,High
L4869,0.18,High
L4870,0.16,High
L4871,0.06,Medium
L4872,0.04,Medium
L4873,0.11,High
L4874,0.08,Medium
L4875,0.2,Low
L4876,0.11,High
L4877,0.18,High
L4878,0.18,Low
L4879,0.13,High
L4880,0.18,High
L4881,0.03,High
L4882,0.04,High
L4883,0.04,Medium
L4884,0.03,High
L4885,0.08,High
L4886,0.18,High
L4887,0.01,High
L4888,0.1,High
L4889,0.18,Medium
L4890,0.03,Medium
L4891,0.16,High
L4892,0.07,Medium
L4893,0.01,Medium
L4894,0.16,High
L4895,0.06,High
L4896,0.1,High
L4897,0.03,High
L4898,0.06,High
L4899,0.11,High
L4900,0.16,Low
L4901,0.08,High
L4902,0.1,High
L4903,0.16,High
L4904,0.16,High
L4905,0.16,High
L4906,0.08,High
L4907,0.1,High
L4908,0.07,High
L4909,0.16,High
L4910,0.07,High
L4911,0.06,High
L4912,0.11,High
L4913,0.07,High
L4914,0.07,High
L4915,0.03,Medium
L4916,0.08,High
L4917,0.1,High
L4918,0.01,High
L4919,0.13,High
L4920,0.13,High
L4921,0.06,High
L4922,0.13,High
L4923,0.04,High
L4924,0.16,High
L4925,0.01,High
L4926,0.1,High
L4927,0.01,Medium
L4928,0.04,High
L4929,0.13,High
L4930,0.08,High
L4931,0.11,Medium
L4932,0.16,High
L4933,0.06,High
L4934,0.13,High
L4935,0.18,High
L4936,0.11,High
L4937,0.01,High
L4938,0.18,High
L4939,0.03,High
L4940,0.13,High
L4941,0.13,Low
L4942,0.03,High
L4943,0.16,High
L4944,0.08,Medium
L4945,0.04,High
L4946,0.13,Medium
L4947,0.11,High
L4948,0.01,Medium
L4949,0.06,High
L4950,0.07,High
L4951,0.1,High
L4952,160.98,High
L4953,0.13,Medium
L4954,0.03,High
L4955,0.06,High
L4956,0.13,High
L4957,0.06,High
L4958,0.07,High
L4959,0.06,High
L4960,0.03,High
L4961,0.1,Medium
L4962,0.03,High
L4963,0.06,Medium
L4964,0.1,High
L4965,0.04,High
L4966,0.13,Low
L4967,0.13,High
L4968,0.13,High
L4969,0.1,High
L4970,0.13,High
L4971,0.16,High
L4972,0.04,High
L4973,0.08,High
L4974,0.04,High
L4975,0.07,High
L4976,0.01,High
L4977,0.04,High
L4978,0.2,High
L4979,0.08,Medium
L4980,0.13,High
L4981,0.03,High
L4982,0.13,Medium
L4983,0.03,Medium
L4984,0.03,High
L4985,0.04,High
L4986,0.1,High
L4987,0.18,Medium
L4988,0.07,High
L4989,0.08,High
L4990,0.07,High
L4991,0.13,Medium
L4992,0.01,High
L4993,0.07,High
L4994,0.04,High
L4995,0.1,High
L4996,0.04,High
L4997,0.1,High
L4998,0.04,High
L4999,0.04,Medium
L5000,0.01,High
L5001,0.13,High
L5002,0.11,High
L5003,0.07,Medium
L5004,0.11,High
L5005,0.03,High
L5006,0.08,High
L5007,0.08,High
L5008,0.11,High
L5009,0.07,High
L5010,0.18,High
L5011,0.07,High
L5012,0.13,High
L5013,0.06,High
L5014,0.07,High
L5015,0.18,Low
L5016,0.08,High
L5017,0.18,Medium
L5018,0.03,High
L5019,0.16,High
L5020,0.1,Medium
L5021,0.18,High
L5022,0.16,High
L5023,0.07,High
L5024,0.04,High
L5025,0.18,High
L5026,0.04,High
L5027,0.06,High
L5028,0.07,High
L5029,0.04,High
L5030,0.18,High
L5031,0.01,High
L5032,0.16,Medium
L5033,0.06,High
L5034,0.07,High
L5035,0.03,High
L5036,0.01,Medium
L5037,0.1,Medium
L5038,0.04,Medium
L5039,0.16,Medium
L5040,0.18,High
L5041,0.03,High
L5042,0.1,Medium
L5043,0.2,Low
L5044,0.08,High
L5045,0.16,Medium
L5046,0.18,High
L5047,0.06,High
L5048,0.18,High
L5049,0.13,High
L5050,0.11,High
L5051,0.16,High
L5052,0.07,High
L5053,0.13,High
L5054,0.08,Medium
L5055,0.06,High
L5056,0.06,High
L5057,0.13,High
L5058,0.07,High
L5059,0.1,High
L5060,0.16,High
L5061,0.08,High
L5062,0.04,High
L5063,0.08,High
L5064,0.01,Medium
L5065,0.13,High
L5066,0.01,High
L5067,0.13,High
L5068,0.07,High
L5069,0.13,High
L5070,0.18,High
L5071,0.03,High
L5072,0.07,Medium
L5073,0.11,High
L5074,0.16,High
L5075,0.06,High
L5076,0.01,Medium
L5077,0.11,High
L5078,0.11,High
L5079,0.03,Medium
L5080,0.16,High
L5081,0.11,High
L5082,0.16,High
L5083,0.01,High
L5084,0.11,High
L5085,0.16,Medium
L5086,0.04,High
L5087,0.11,High
L5088,0.1,High
L5089,0.1,Low
L5090,0.1,High
L5091,0.01,High
L5092,0.08,High
L5093,0.11,Low
L5094,0.06,Medium
L5095,0.11,Medium
L5096,0.04,High
L5097,0.1,Low
L5098,0.07,High
L5099,0.06,High
L5100,0.16,High
L5101,0.13,High
L5102,0.07,High
L5103,0.1,High
L5104,0.06,High
L5105,0.06,Medium
L5106,0.01,High
L5107,0.08,Medium
L5108,0.11,Medium
L5109,0.08,High
L5110,0.06,High
L5111,0.18,High
L5112,0.16,High
L5113,0.11,Medium
L5114,0.04,Medium
L5115,0.11,High
L5116,0.03,High
L5117,0.18,High
L5118,0.1,High
L5119,0.16,High
L5120,0.1,High
L5121,0.08,High
L5122,0.04,High
L5123,0.04,High
L5124,0.01,High
L5125,0.16,Medium
L5126,0.16,High
L5127,0.07,High
L5128,0.16,Low
L5129,0.04,High
L5130,0.11,High
L5131,0.06,High
